boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.2_1t  10.2_1  10.2  t  1  -0.216101  0.374297  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_1b  10.2_1  10.2  b  1  -0.216101  0.374297  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_2t  10.2_2  10.2  t  2  -0.259321  0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_2b  10.2_2  10.2  b  2  -0.259321  0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_3t  10.2_3  10.2  t  3  -0.302541  0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_3b  10.2_3  10.2  b  3  -0.302541  0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_4t  10.2_4  10.2  t  4  -0.345761  0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_4b  10.2_4  10.2  b  4  -0.345761  0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_5t  10.2_5  10.2  t  5  -0.388981  0.074860  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_5b  10.2_5  10.2  b  5  -0.388981  0.074860  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_6t  10.2_6  10.2  t  6  -0.432201  0.000000  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_6b  10.2_6  10.2  b  6  -0.432201  0.000000  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_7t  10.2_7  10.2  t  7  -0.129661  0.374297  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_7b  10.2_7  10.2  b  7  -0.129661  0.374297  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_8t  10.2_8  10.2  t  8  -0.172881  0.299438  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_8b  10.2_8  10.2  b  8  -0.172881  0.299438  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_9t  10.2_9  10.2  t  9  -0.216101  0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_9b  10.2_9  10.2  b  9  -0.216101  0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
